Station latitude: {self.latitude}
Station longitude: {self.longitude}
Station altitude [m]: {self.altitude}
Time Increment [s]: {self.increment}
Start Time: {t_string}
Duration [days]: {self.duration}

Time,Lunar,Solar,Total
YYYY-MM-DDTHH:MM:SS	mGal	mGal	mGal
2020-06-12T06:47:00	-0.004946497736515116	0.018960947571720812	0.014014449835205698
2020-06-12T06:57:00	0.0012294523350815446	0.01646047103860048	0.017689923373682023
2020-06-12T07:07:00	0.0075244439780088185	0.013852751960560048	0.021377195938568867
2020-06-12T07:17:00	0.013892699514908135	0.011158646355721955	0.02505134587063009
2020-06-12T07:27:00	0.020288159360225426	0.008399734588845239	0.02868789394907067
2020-06-12T07:37:00	0.026664798132528044	0.0055981551093921035	0.03226295324192015
2020-06-12T07:47:00	0.0329769376880951	0.002776433821756329	0.03575337150985143
2020-06-12T07:57:00	0.039179555138792205	-4.2689609651430634e-05	0.039136865529140766
2020-06-12T08:07:00	0.045228583997149616	-0.00283643719487872	0.042392146802270894
2020-06-12T08:17:00	0.05108120665919832	-0.0055821684526729835	0.04549903820652534
2020-06-12T08:27:00	0.056696136553848066	-0.008257555302167076	0.04843858125168098
2020-06-12T08:37:00	0.062033888341885314	-0.010840754676219304	0.05119313366566601
2020-06-12T08:47:00	0.0670570346958374	-0.013310577538020474	0.053746457157816924
2020-06-12T08:57:00	0.07173044824612634	-0.015646653009677956	0.05608379523644839
2020-06-12T09:07:00	0.07602152742686777	-0.017829586358513956	0.058191941068353806
2020-06-12T09:17:00	0.07990040503022999	-0.019841109633521137	0.06005929539670885
2020-06-12T09:27:00	0.08334013841133207	-0.021664223800086254	0.06167591461124583
2020-06-12T09:37:00	0.08631688037580104	-0.023283331285691624	0.06303354909010941
2020-06-12T09:47:00	0.08881002990610913	-0.024684357922169112	0.06412567198394002
2020-06-12T09:57:00	0.09080236198603145	-0.025854863350680195	0.06494749863535125
2020-06-12T10:07:00	0.0922801358932629	-0.026784139043169477	0.06549599685009343
2020-06-12T10:17:00	0.09323318143914702	-0.027463293188325404	0.06576988825082163
2020-06-12T10:27:00	0.0936549627452714	-0.02788532178987536	0.06576964095539603
2020-06-12T10:37:00	0.09354261925163324	-0.028045165429843987	0.06549745382178926
2020-06-12T10:47:00	0.09289698376200821	-0.027939751258534682	0.06495723250347352
2020-06-12T10:57:00	0.09172257743783828	-0.02756801988525417	0.0641545575525841
2020-06-12T11:07:00	0.09002758176107424	-0.026930936958710558	0.06309664480236368
2020-06-12T11:17:00	0.08782378759124805	-0.026031489342463212	0.06179229824878484
2020-06-12T11:27:00	0.08512652155464014	-0.02487466590803809	0.06025185564660205
2020-06-12T11:37:00	0.08195455010832038	-0.023467423085275888	0.05848712702304449
2020-06-12T11:47:00	0.0783299617280784	-0.021818635425637382	0.05651132630244102
2020-06-12T11:57:00	0.07427802778692712	-0.01993903154799916	0.054338996238927954
2020-06-12T12:07:00	0.0698270427905753	-0.017841115948036286	0.05198592684253902
2020-06-12T12:17:00	0.06500814475688495	-0.01553907725956072	0.04946906749732423
2020-06-12T12:27:00	0.05985511662557701	-0.013048683659609414	0.046806432965967586
2020-06-12T12:37:00	0.05440416970413931	-0.010387166206820776	0.04401700349731853
2020-06-12T12:47:00	0.04869371026467576	-0.007573090994471133	0.04112061927020462
2020-06-12T12:57:00	0.042764090509701896	-0.004626221084904802	0.0381378694247971
2020-06-12T13:07:00	0.036657345241234034	-0.0015673692698806904	0.03508997597135334
2020-06-12T13:17:00	0.030416915663819776	0.0015817572289088578	0.03199867289272863
2020-06-12T13:27:00	0.0240873618700579	0.004798718943075708	0.028886080813133607
2020-06-12T13:37:00	0.017714065634272386	0.008060511996374569	0.02577457763064695
